movie_id,production
m192,Castle Rock Entertainment
m192,Village Roadshow Pictures
m192,Flower Hills
m193,Pacific Western
m193,Hemdale Film Corporation
m194,Columbia Pictures
m194,20th Century Fox
m195,Columbia Pictures
m195,Imagine Entertainment
m196,Allied Artists
m196,ABC Pictures
m197,Universal Pictures
m198,Columbia Pictures
m199,Universal Pictures
m199,Turman-Foster Company
m200,Co-production Argentina-Spain; 100 Bares
m200,Tornasol Films
m200,Haddock Films
m200,Telefe
m201,Twentieth Century-Fox
m201,Brandywine Productions
m201,Davis Entertainment
m201,Dune Entertainment
m202,Sony Pictures Animation
m203,Warner Bros. Pictures
m203,Laskeshore Entertainment
m203,Malpaso Productions
m204,Miramax Films presents a Mirage Enterprises
m204,Bona Fide productions
m205,Touchstone Pictures
m205,Silver Screen Partners IV
m206,20th Century Fox
m206,Scott Free Productions
m206,Dune Entertainment
m206,Brandywine Productions
m207,Rogue Pictures
m207,Hydraulx
m207,Relativity Media
m207,Transmission Pictures
m207,Black Monday Film Services
m207,Rat Entertainment
m208,Warner Bros. Pictures; Producer: Jack L. Warner
m209,Walt Disney Pictures
m210,20th Century Fox
m211,Dreamworks
m211,Universal Pictures
m211,Imagine Entertainment
m212,Paramount Pictures
m213,Imprint Entertainment
m213,Summit Entertainment
m214,Apaches Entertainment
m214,Telecinco Cinema
m214,Mediaset España
m214,Canal+ España
m214,IVAC
m214,ICAA
m215,Co-production GB-USA; Orion Pictures
m215,WB
m216,Touchstone Pictures
m216,Jerry Bruckheimer Films
m217,Co-production USA-Germany; The Weinstein Company
m217,Mirage Enterprises
m217,Neunte Babelsberg Film
m218,Warner Bros. Pictures
m218,Bel-Air Entertainment
m218,TIG
m218,Di Novi Pictures
m219,Newmarket Film Group
m219,Icon Productions
m220,The Mark Gordon Company
m220,Vendome Pictures
m220,Vendome
m221,Columbia Pictures
m222,Fox 2000 Pictures
m222,New Regency Pictures
m222,Bedford Falls Productions
m223,DreamWorks SKG
m223,Pacific Data Images (PDI)
m223,DreamWorks Animation
m224,Cartel
m224,Rocabruno
m225,Paramount Pictures
m225,Touchstone Pictures
m226,Touchstone Pictures
m226,Cobalt Media Group
m226,Beacon Pictures
m226,Tig Production
m227,Columbia Pictures
m227,Happy Madison Productions
m227,Anonymous Content
m227,Flower Films
m228,Co-production UK-USA-Germany; Universal Pictures
m228,Littlestar Productions
m228,Playtone
m229,Co-production UK-USA; Warner Bros. Pictures
m230,Bryna Productions
m230,Universal Pictures
m231,Amblin Entertainment
m231,Paramount Pictures
m231,Sony Pictures Entertainment
m232,20th Century Fox
m233,20th Century Fox
m234,Walt Disney Pictures
m235,Warner Bros. Pictures
m236,Universal Pictures
m237,Tri-Star Pictures
m238,Charles Chaplin Productions
m238,First National Picture
m239,Universal Pictures
m239,Summit Entertainment
m239,Newmarket Capital Group
m240,Universal Pictures
m240,Amblin Entertainment
m240,The Harvey Entertainment Company
m241,Paramount Pictures
m242,Romulus Films
m242,Warwick Film Productions
m243,Metro-Goldwyn-Mayer (MGM)
m244,Mexican Film Institute
m245,Warner Bros. Pictures
m246,Imagine Films Entertainment
m246,Metro-Goldwyn-Mayer (MGM)
m246,Lucasfilm
m247,Metro-Goldwyn-Mayer
m248,Universal International Pictures (UI)
m249,Co-production USA-UK; DC Entertainment
m249,Legendary PictureS
m249,Warner Bros. Pictures
m250,Marvel Studios
m250,Paramount Pictures
m251,United Artists
m251,Ashton Productions
m251,The Mirisch Corporation
m252,Universal Pictures
m253,New Line Cinema
m254,20th Century Fox
m254,SLM Production Group
m254,Brooksfilms
m255,TriStar
m255,Touchstone Pictures
m256,Columbia Pictures
m257,Imagine Entertainment
m257,Malpaso Productions
m258,MGM
m259,Castle Rock Entertainment
m260,Warner Bros. Pictures
m260,Village Roadshow
m261,Fox Film Corporation
m262,Incentive Filmed Entertainment
m262,Silverwood Films
m262,Hunting Lane Films
m262,Chrysler Corporation
m262,Shade Pictures
m262,Motel Movies
m262,Cottage Industries
m263,Warner Bros. Pictures
m264,MGM
m264,Embassy Pictures
m265,Paramount Pictures
m265,Warner Bros. Pictures
m266,Wild Bunch
m266,Quat'sous Films
m266,France 2 Cinema
m266,Scope Pictures
m266,Vértigo Films
m266,RTBF
m266,Canal +
m266,CNC
m267,Tim Burton Animation Co.
m267,Walt Disney Productions
m268,United Artists
m269,Touchstone Pictures
m269,Skellington Productions
m269,Tim Burton Productions
m270,Walt Disney Pictures
m271,Paramount Pictures
m272,20th Century Fox
m273,Touchstone Pictures
m273,Icon Productions
m274,United Artists
m274,Fantasy Film
m275,20th Century Fox
m276,Touchstone Pictures
m277,Co-production UK-USA; Warner Bros. Pictures
m278,Gracie Films
m278,20th Century Fox Television
m278,Film Roman
m279,Walt Disney Pictures
m279,Jerry Bruckheimer Films
m280,Películas Pendelton
m280,Mediapro
m281,Polygram Filmed Entertainment
m281,Propaganda Films
m281,Dark Horse Entertainment
m282,Co-production Spain-France; El Deseo S.A.
m282,Renn Productions
m282,France 2 Cinema
m283,Paramount Pictures
m284,United Artists
m285,20th Century Fox
m286,Co-production UK-Ireland; Universal Pictures
m286,Hell's Kitchen Films
m287,Co-production USA-France; Le Studio Canal+
m287,Les Films Alain Sarde
m287,Picture Factory & Film Four
m288,Warner Bros
m289,Columbia Pictures
m290,20th Century Fox
m291,Wiedemann
m291,Berg Filmproduktion
m291,Bayerischer Rundfunk
m291,Arte
m291,Creado Film
m292,Co-production United Kingdom-USA; Universal Pictures
m292,Working Title
m293,Co-production UK-USA; Aardman Animations
m293,DreamWorks Animation
m294,20th Century Fox
m295,20th Century Fox
m295,Lucasfilm Ltd.
m296,Columbia
m297,Universal Pictures
m297,Dreamworks Pictures
m297,Scott Free Productions
m298,Warner Bros. Pictures
m298,Heyday Films
m299,Sony Pictures
m300,Co-production Spain-USA-Bolivia-France; Ariane Mararía
m300,Arcadia Motion Pictures
m300,Noodles Production
m301,20th Century Fox
m301,Icon Productions
m301,Ladd Company
m302,Columbia Pictures
m303,Sony Pictures
m303,Screen Gems
m303,Castle Rock Entertainment
m304,TriStar Pictures
m304,Amblin Entertainment
m305,Walt Disney Pictures
m305,Walt Disney Feature Animation
m306,Columbia Pictures
m306,Sony Pictures Entertainment
m307,Universal Pictures
m307,Jersey Films
m308,The Who Films
m308,Polytel
m309,Warner Independent Pictures
m310,Walt Disney Pictures
m311,New Line Cinema
m312,Co-production Spain-Italy; Naga Films
m312,Zabra Films
m313,O2 Filmes
m313,VideoFilmes
m313,Globo Filmes
m313,Wild Bunch
m314,Co-production Hong Kong-France; Block 2 Pictures
m314,Paradis Films
m314,Jet Tone Production
m315,Co-production UK-USA; Working Title Films
m315,Universal Pictures
m315,Studio Canal
m315,Relativity Media
m316,20th Century Fox
m317,Kennedy Miller Productions
m318,Co-production Spain-France-USA; Estudios Picasso
m318,Origen PC
m318,La Chauve-Souris
m319,Walt Disney Pictures
m320,Warner Bros. Pictures
m321,DreamWorks Animation
m321,DreamWorks Pictures
m321,Pacific Data Images (PDI)
m322,Co-production USA-UK; MGM
m322,UA
m323,Paramount Pictures
m324,Walt Disney Pictures
m325,Co-production Italy-France; Les Films Ariane
m325,Cristaldifilm
m325,TFI Films
m325,RAI
m326,Warne Bros. Pictures
m326,Regency Enterprises
m327,Warner Bros
m328,20th Century Fox.
m329,Co-production UK-USA; Warner Bros. Pictures
m329,Heyday Films
m329,1492 Films
m329,Duncan Henderson
m330,Universal Pictures
m330,Miramax Films
m330,Touchstone Pictures
m330,Imagine Entertainment
m331,Columbia Pictures
m332,Paramount Pictures
m333,Universal Pictures
m334,Columbia Pictures
m335,Walt Disney Pictures
m336,MGM
m337,Warner Bros. Pictures
m338,MGM
m339,Lionsgate Films
m339,Relativity Media
m339,Tree Line Films
m340,TriStar Pictures
m341,20th Century Fox
m342,Uninci
m343,Samuel Goldwyn Films
m343,Destination Films
m343,Icon Productions
m344,DreamWorks SKG
m344,Pacific Data Images (PDI)
m344,DreamWorks Animation
m345,Warner Bros. Pictures
m345,Village Roadshow
m345,Silver Pictures
m346,Republic Pictures
m347,VCL Licensing Gmbh
m347,Dreamworks Pictures present a Gravier production
m348,Paramount Pictures
m349,Sony Pictures
m350,Metro-Goldwyn-Mayer
m351,Paramount Pictures
m352,20th Century Fox
m353,Paramount Pictures
m353,Howard W. Koch Production
m354,Fox Searchlight Pictures
m354,Riverroad Entertainment
m355,Mirage Entertainment
m355,Universal Pictures
m356,Warner. Bros. Pictures
m356,Alcon Entertainment
m356,Grosvenor Park Productions
m356,Wendy Finerman Productions
m357,United Artists presents a Jack Rollins
m357,Charles H. Joffe Production
m358,20th Century Fox
m359,20th Century Fox
m360,Paramount Pictures
m361,Working Title Films
m361,BBC Films
m361,The Arts Council of England
m362,Warner Bros.
m363,Universal Pictures
m364,Sogetel
m365,Touchstone Pictures
m366,Warner Bros. Pictures
m366,Amblin Entertainment
m367,Paramount Pictures
m367,DreamWorks Pictures
m367,Hasbro
m368,Galatée Films
m368,Pathé Renn Productions
m368,France 2 Cinéma
m368,Novo Arturo Films
m369,Fox Searchlight Pictures
m370,United Artists
m371,Walt Disney Pictures
m371,Pixar Animation Studios
m372,Co-production France-Belgium; Nord-Ouest Production
m372,Studio Canal
m372,Artemis Productions
m372,France 2 Cinema
m372,M6 Films
m372,Media Services
m372,Canoe Films
m373,Warner Bros.
m373,Village Roadshow Pictures
m373,3 Arts Entertainment
m373,Viz Media
m374,Universal Pictures
m375,Carolco Pictures
m376,Warner Bros. Pictures
m376,Castle Rock Entertainment
m377,Warner Bros. Pictures
m378,Selznick International Pictures
m378,Metro-Goldwyn-Mayer (MGM)
m379,New Line Cinema
m380,Paramount Pictures
m381,The Weinstein Company
m381,Relativity Media
m382,Co-production USA-Canada-Germany; Artisan Entertainment release
m383,20th Century Fox
m384,Zoetrope Studios
m384,PSO International
m384,Totally Independent
m385,Warner Bros.
m386,Kim Ki-duk Film
m387,Walt Disney Pictures
m388,Co-production USSR-Japan; Mosfilm
m388,Atelier 41
m389,Walt Disney Pictures
m389,Pixar Animation Studios
m390,Robert Stigwood Organization (RSO)
m390,Hemdale Film
m391,Columbia
m391,Hawk Films
m392,Warner Bros
m392,Village Roadshow Pictures
m392,NPV Entertainment
m392,Spring Creek Pictures
m392,Tribeca production
m393,Fox Searchlight Pictures
m393,Big Beach
m394,Hollywood Pictures
m394,Don Simpson
m394,Jerry Bruckheimer Films
m395,Universal Pictures
m395,De Haven Productions
m396,Producciones A.S.H. Films
m397,Universal Pictures
m397,Original Film
m397,Mediastream Film
m398,Columbia Pictures
m399,Columbia Pictures
m399,Brillstein-Grey Entertainment
m399,Licht
m399,Mueller Film Corporation
m400,Pathé Renn Productions
m400,Hirsch
m400,TF1 Films Production
m400,Les Productions du Chicon
m400,Région Nord-Pas-de-Calais
m400,Canal +
m400,Centre National de la Cinématographie
m400,Cinecinema
m401,Universal Pictures
m401,Dreamworks Pictures
m402,Universal Pictures
m403,Universal Pictures
m404,United Artists presents a Jack Rollins
m404,Charles H. Joffe Production
m405,Co-production Taiwan-China-Hong Kong-USA; Sony Pictures Classics
m406,Touchstone Pictures
m407,Metro-Goldwyn-Mayer (MGM)
m408,Universal Pictures
m409,The Saul Zaentz Company
m409,Orion Pictures
m410,DreamWorks Animation
m410,DreamWorks SKG
m410,Pacific Data Images (PDI)
m411,20th Century Fox
m411,Lightstorm Entertainment
m411,Giant Studios Inc.
m412,Paramount Pictures
m412,Kingsmere Properties
m413,Dimension Films
m413,Troublemaker Studios
m414,Pixar Animation Studios
m414,Walt Disney Pictures
m415,Columbia Pictures
m415,Intermedia Films present a Tapestry Films
m415,Dee Gee Entertainment
m415,IMF
m415,Prufrock Pictures Production
m416,Warner Bros. Pictures
m417,Sony Pictures
m417,Columbia Pictures
m417,De Line Pictures
m418,20th Century Fox
m419,Warner Bros
m420,Paramount Pictures
m421,Regency Enterprises
m421,New Regency Pictures
m422,Columbia Pictures
m423,Miramax International presents a Lawrence Bender production
m424,GK Films
m424,Infinitum Nihil
m424,Warner Bros. Pictures
m425,20th Century Fox
m425,Via Rosa Productions
m426,20th Century Fox
m427,Paramount Pictures
m427,Scott Rudin Productions
m428,Dreamworks Pictures
m429,Offspring Entertainment
m429,Corner Store Entertainment
m429,Maguire Entertainment
m430,MGM
m430,Columbia Pictures
m430,Albert R. Broccoli
m430,Eon Productions
m430,B23
m431,DreamWorks Pictures
m432,Universal. Producers: Alan J. Pakula & Robert Mulligan
m433,Metro-Goldwyn-Mayer
m434,Touchstone Pictures
m434,Silver Screen Partners IV
m434,Arnon Milchan Production
m435,Columbia Pictures
m436,Walt Disney Pictures
m436,Jerry Bruckheimer Films
m437,Regency Entreprises
m438,Universal Pictures
m439,Warner Bros. Pictures
m440,Lionsgate
m440,Color Force
m441,Paramount Pictures
m441,Art Linson Production
m442,Columbia Pictures
m442,Relativity Media
m442,Happy Madison Productions
m443,Co-production Japan-USA; Bandai Visual Company
m443,Kodansha
m443,Manga Video
m443,Production I.G.
m444,Co-production USA-UK; Warner Bros. Pictures
m444,Tim Burton Productions
m444,Laika Entertainment
m444,Patalex Productions
m444,Will Vinton Studios
m445,Miramax Films
m445,A Band Apart
m446,Brownstone Productions
m446,Gold Circle Films
m446,Universal Pictures
m447,TriStar Pictures presents a Clinica Estetico Productions
m448,Orion Pictures Corporation
m449,Paramount Pictures
m449,Miramax
m450,Metro-Goldwyn-Mayer
m451,Warner Bros
m452,Mosfilm Studios
m453,Co-production UK
m453,USA
m453,Czech Republic; EON Productions
m453,MGM
m453,Columbia Pictures
m454,Hollywood Pictures
m454,Caravan Pictures
m455,Paramount Pictures
m456,Fox 2000 Pictures
m456,Regency Enterprises
m456,Linson Films
m457,Co-production USA
m457,Germany; MGM
m457,UA
m458,Touchstone Pictures
m459,Sweetland Films
m460,Warner Bros. Pictures
m460,Village Roadshow Pictures
m460,Malpaso Productions
m460,Double Nickel Entertainment
m461,United Artists
m461,The Mirisch Corporation
m462,Walt Disney Pictures
m462,Jerry Bruckheimer Films
m463,Castle Rock Entertainment
m463,Nelson Entertainment
m464,20th Century Fox presents a Centropolis Entertainment production
m465,Sony Pictures Classic
m465,Castle Rock Entertainment
m466,Artisan Entertainment
m466,Haxan Films
m467,Co-production USA-Spain; The Weinstein Company
m467,Gravier Productions
m467,Mediapro
m468,20th Century Fox
m469,Millennium Films
m469,Nu Image Films
m469,Road Rebel
m469,Rogue Marble
m470,Fox 2000 Pictures
m470,Temple Hill Entertainment
m471,Polygram Filmed Entertainment
m471,Working Title Films
m472,Co-production Denmark-Germany-Netherlands-Italy-USA-UK-France-Sweden-Finland-Iceland-Norway; Fine Line Features
m472,Zentropa Entertainments4
m472,Trust Film Svenka
m472,Liberator Production
m472,Film I Väst
m473,Cineguild
m474,Stanley Kramer Productions
m475,Universal Pictures
m475,Spyglass Entertainment
m475,Pit Bull Productions
m476,Co-production France-UK; 20th Century Fox
m476,Europa Corp.
m476,M6 Films
m476,Grive Productions
m476,Canal+
m476,TPS Star
m477,20th Century Fox presents a Darryl F. Zanuck production
m478,Summit Entertainment
m478,Underground Films and Management
m478,Independent Films
m478,Eagle Pictures
m478,Long Shong Entertainment Multimedia Company
m479,Morgan Creek production
m480,Columbia Pictures
m480,Merchant Ivory Production
m481,Universal Pictures
m482,20th Century Fox
m482,Regency Enterprises
m483,Metro-Goldwyn-Mayer (MGM)
m484,Warner Bros. Pictures
m484,Castle Rock Entertainment
m485,Warner Bros. Pictures
m485,Plan B Entertainment
m485,Radiant Productions
m486,Warner Bros. Pictures
m486,Village Roadshow Pictures
m486,NPV Entertainment
m487,Walt Disney Pictures
m488,Coproduction USA-Spain-France; Gravier Productions
m488,Mediapro
m488,Televisió de Catalunya (TV3)
m488,Versátil Cinema
m488,Pontchartrain Productions
m489,Metro-Goldwyn-Mayer (MGM); Producer: Joseph L. Mankiewicz
m490,Compañía de Aventuras Comerciales
m490,TVE
m490,Paraíso
m491,Screen Gems
m491,Ska Films
m492,BBC Films
m492,Endgame Entertainment
m492,Finola Dwyer Productions
m492,Wildgaze Films
m493,Warner Bros
m493,Malpaso Company
m494,Malpaso Company
m494,Warner Bros. Pictures
m495,Dreamworks Pictures
m496,Revolution Studios
m497,Warner Bros. Pictures
m498,Zentrope Entertainment
m499,Co-production West Germany-USA; NNeue Constantin Film
m499,Bavaria Studios
m499,Westdeutscher Rundfunk (WDR)
m500,MGM
m501,Carolco Pictures
m501,Pacific Western
m501,Lightstorm Entertainment
m501,Columbia TriStar
m502,Co-production Germany-USA; Centropolis Entertainment
m502,Columbia Pictures
m503,New Line Cinema
m503,Capella International
m504,Telecinco
m504,Vía Digital
m504,Zebra Producciones S.A.
m505,United Artists
m506,MGM
m506,UA
m506,Act III Communications
m507,Paramount Pictures
m508,Universal Pictures
m508,The Rank Organisation
m508,Act III Communications
m508,Electric Shadow Productions
m508,Avnet
m508,Kerner Productions
m509,Paramount Pictures
m510,Focus Features
m510,American Zoetrope
m510,Elemental Films
m511,Metro-Goldwyn-Mayer
m512,MGM
m513,Warner Bros. Pictures
m514,20th Century Fox
m514,New Regency Pictures
m514,Regency Enterprises
m515,Columbia Pictures presents a Mirage
m515,Punch Production
m516,Columbia Pictures
m517,Co-production USA-Germany; Warner Bros. Pictures
m517,Regency Enterprises
m517,Atlas Entertainment
m517,Taurus Film
m517,Monarchy Enterprises
m518,20th Century Fox
m518,Brandywine Productions
m519,Miramax International
m519,Mario & Vittorio Cecchi Gori
m519,Melampo Cinematografica
m520,20th Century Fox
m520,Miramax
m520,Universal Pictures
m521,DreamWorks Pictures
m521,Paramount Pictures
m521,Amblin Entertainment
m521,Cruise-Wagner Production
